,channelId,channelTitle,pub_date,videoCategoryId,videoCategoryLabel,duration,durationSec,definition,caption,viewCount,likeCount,dislikeCount,commentCount
101,UC3M1LDs2tSg0Gy3iCqMLGRg,Nöron Mühendislik,03/10/53,28,Science & Technology,PT1M3S,63,hd,FALSE,356,1,0,0
102,UC3M1LDs2tSg0Gy3iCqMLGRg,Nöron Mühendislik,08/16/54,28,Science & Technology,PT1M3S,63,hd,FALSE,209,0,0,0
103,UC9FsJnf2tJEZByE-m1Gs7BA,timasid,01/22/56,22,People & Blogs,PT1M1S,61,sd,FALSE,195,0,0,0
104,UCByZtO109BzcxAG9AaL_9pw,DMA Europa,06/29/57,28,Science & Technology,PT55S,55,hd,FALSE,343,0,0,0
105,UCMGzgGupUGKc-xV6F4cwy0Q,Bürkert Fluid Control Systems,12/05/58,22,People & Blogs,PT55S,55,hd,FALSE,509,0,0,0
106,UC6Qia_DIjUWJHIrk5zI9pmA,Vakantie Vincent,05/12/60,22,People & Blogs,PT54S,54,hd,FALSE,127,1,0,9
107,UC3M1LDs2tSg0Gy3iCqMLGRg,Nöron Mühendislik,10/18/61,28,Science & Technology,PT48S,48,hd,FALSE,298,0,0,1
108,UCMGzgGupUGKc-xV6F4cwy0Q,Bürkert Fluid Control Systems,03/26/63,22,People & Blogs,PT46S,46,hd,FALSE,209,0,0,1
109,UCZA4UoKQSLUzJ3g4DLZS4EA,wemakeideasflow,08/31/64,27,Education,PT43S,43,sd,FALSE,218,0,0,0
110,UCfvKwp-BExobsDcuDfCx1hA,ICRISAT Co,02/06/66,29,Nonprofits & Activism,PT42S,42,hd,FALSE,16,0,0,0
111,UC3M1LDs2tSg0Gy3iCqMLGRg,Nöron Mühendislik,07/15/67,22,People & Blogs,PT40S,40,sd,FALSE,913,2,0,1
112,UCZwZeq6xPWyWzNcOspTn4qQ,gaoyuansg,12/20/68,22,People & Blogs,PT36S,36,hd,FALSE,469,2,0,0
113,UCI-jLIlZKXHCZApl3VvWfgQ,The Awakened Brave!,05/28/70,22,People & Blogs,PT27S,27,hd,FALSE,650,28,1,20
114,UCjnXuO6mfE0-czvcbOYnpbQ,Ayahuasca Magic,11/03/71,24,Entertainment,PT26M,26,hd,FALSE,304,6,0,22
115,UC281yIVp-U8Ijg4KUVRgDRA,Osiron X,02/22/76,24,Entertainment,PT11M,11,sd,FALSE,341,11,1,10
116,UCmNZB3-zCyMuHCOTraws0dg,Helix Steel Victoria,09/16/74,28,Science & Technology,PT11S,11,hd,FALSE,463,0,0,0
117,UC281yIVp-U8Ijg4KUVRgDRA,Osiron X,02/22/76,24,Entertainment,PT11M,11,sd,FALSE,341,11,1,10
118,UC281yIVp-U8Ijg4KUVRgDRA,Osiron X,02/22/76,24,Entertainment,PT11M,11,sd,FALSE,341,11,1,10
